===== fundamental14 =====
`fnd14_03_aijd` [cov=0.23, freq=daily, shape=ceiling]
`fnd14_1_mtt_vqe_hsc_hsc_nhc_hsc_stl` [cov=0.34, freq=daily, shape=spread]
`fnd14_1_rtq_vqe_hsc_hsc_nhc_hsc_stl` [cov=0.34, freq=daily, shape=spread]
`fnd14_1_td_sto_rhs_ltt_stl` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_2_mtt_vqe_hsc_hsc_nhc_hsc_stl` [cov=0.34, freq=daily, shape=spread]
`fnd14_2_rtq_vqe_hsc_hsc_nhc_hsc_stl` [cov=0.34, freq=daily, shape=spread]
`fnd14_2_td_sto_rhs_ltt_stl` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_acc_flr_prd_end_dt_nm` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_accel_filer_accounting_basis` [cov=0.17, freq=daily, shape=spread]
`fnd14_accel_filer_form_fkey` [cov=0.27, freq=daily, shape=spread]
`fnd14_accel_filer_is_shell_company` [cov=0.31, freq=daily, shape=ceiling]
`fnd14_bus_addr` [cov=0.35, freq=daily, shape=spread]
`fnd14_bus_city` [cov=0.35, freq=daily, shape=spread]
`fnd14_bus_phone` [cov=0.35, freq=daily, shape=spread]
`fnd14_bus_state` [cov=0.34, freq=daily, shape=spread]
`fnd14_bus_state_country` [cov=0.29, freq=daily, shape=spread]
`fnd14_bus_state_name` [cov=0.33, freq=daily, shape=spread]
`fnd14_bus_state_region` [cov=0.28, freq=daily, shape=spread]
`fnd14_bus_street1` [cov=0.35, freq=daily, shape=spread]
`fnd14_bus_zip` [cov=0.35, freq=daily, shape=spread]
`fnd14_cca_lf_nlf_drp_ncr` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_cmp_nn_tck_sbs` [cov=0.00, freq=daily, shape=unknown]
`fnd14_cmp_off_bnk_hld_cmp` [cov=0.27, freq=daily, shape=ceiling]
`fnd14_company_is_asset_backed_security` [cov=0.29, freq=daily, shape=ceiling]
`fnd14_company_is_emerging_registrant` [cov=0.14, freq=daily, shape=ceiling]
`fnd14_company_is_fund_or_trust` [cov=0.32, freq=daily, shape=ceiling]
`fnd14_company_is_inactive_registrant` [cov=0.26, freq=daily, shape=ceiling]
`fnd14_company_is_reit` [cov=0.32, freq=daily, shape=ceiling]
`fnd14_company_key` [cov=0.35, freq=daily, shape=spread]
`fnd14_crr_adt_aff_hm_off_stt` [cov=0.30, freq=daily, shape=spread]
`fnd14_crr_adt_aff_hm_off_stt_nm` [cov=0.30, freq=daily, shape=spread]
`fnd14_crr_adt_aff_hm_off_stt_rgn` [cov=0.30, freq=daily, shape=spread]
`fnd14_curr_auditor_affiliate_fkey` [cov=0.30, freq=daily, shape=spread]
`fnd14_curr_auditor_affiliate_name` [cov=0.30, freq=daily, shape=spread]
`fnd14_curr_auditor_latest_event_type` [cov=0.31, freq=daily, shape=spread]
`fnd14_curr_auditor_since_event_type` [cov=0.24, freq=daily, shape=spread]
`fnd14_egc_earliest_file_accepted` [cov=0.32, freq=daily, shape=ceiling]
`fnd14_egc_earliest_form_fkey` [cov=0.27, freq=daily, shape=spread]
`fnd14_egc_file_accepted` [cov=0.33, freq=daily, shape=ceiling]
`fnd14_egc_is_emerging_company` [cov=0.26, freq=daily, shape=ceiling]
`fnd14_filer_act` [cov=0.30, freq=daily, shape=ceiling]
`fnd14_filer_assistant_director` [cov=0.35, freq=daily, shape=spread]
`fnd14_fiscal_ye` [cov=0.35, freq=daily, shape=spread]
`fnd14_flr_ass_drc_off_nm` [cov=0.33, freq=daily, shape=spread]
`fnd14_former_name1` [cov=0.26, freq=daily, shape=spread]
`fnd14_former_name2` [cov=0.30, freq=daily, shape=spread]
`fnd14_former_name3` [cov=0.32, freq=daily, shape=spread]
`fnd14_grd_mrt_pmc` [cov=0.23, freq=daily, shape=ceiling]
`fnd14_hwt_bls_ttl_ass_dt_qtr` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_inc_state` [cov=0.26, freq=daily, shape=spread]
`fnd14_inc_state_country` [cov=0.28, freq=daily, shape=spread]
`fnd14_inc_state_name` [cov=0.26, freq=daily, shape=spread]
`fnd14_inc_state_region` [cov=0.26, freq=daily, shape=spread]
`fnd14_irs_number` [cov=0.35, freq=daily, shape=spread]
`fnd14_last_known_auditor_event_type` [cov=0.24, freq=daily, shape=spread]
`fnd14_last_reported_auditor_event_type` [cov=0.32, freq=daily, shape=spread]
`fnd14_latest_fees_fiscal_year_ended` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_latest_it_fees_sum` [cov=0.00, freq=daily, shape=unknown]
`fnd14_latestfy_balsh_book_value` [cov=0.35, freq=daily, shape=spread]
`fnd14_latestfy_incmst_ebitda_qtr` [cov=0.34, freq=daily, shape=spread]
`fnd14_latestfy_incmst_ebitda_ttm` [cov=0.34, freq=daily, shape=spread]
`fnd14_latestfy_incmst_net_income_qtr` [cov=0.35, freq=daily, shape=spread]
`fnd14_latestfy_incmst_net_income_ttm` [cov=0.34, freq=daily, shape=spread]
`fnd14_latestqu_balsh_book_value` [cov=0.35, freq=daily, shape=spread]
`fnd14_latestqu_incmst_ebitda_qtr` [cov=0.35, freq=daily, shape=spread]
`fnd14_latestqu_incmst_ebitda_ttm` [cov=0.35, freq=daily, shape=spread]
`fnd14_latestqu_incmst_net_income_qtr` [cov=0.35, freq=daily, shape=spread]
`fnd14_latestqu_incmst_net_income_ttm` [cov=0.32, freq=daily, shape=spread]
`fnd14_loc_state` [cov=0.34, freq=daily, shape=spread]
`fnd14_loc_state_country` [cov=0.29, freq=daily, shape=spread]
`fnd14_loc_state_name` [cov=0.33, freq=daily, shape=spread]
`fnd14_loc_state_region` [cov=0.28, freq=daily, shape=spread]
`fnd14_lst_knw_adt_aff_hm_off_stt` [cov=0.30, freq=daily, shape=spread]
`fnd14_lst_knw_adt_aff_hm_off_stt_nm` [cov=0.30, freq=daily, shape=spread]
`fnd14_lst_knw_adt_aff_hm_off_stt_rgn` [cov=0.30, freq=daily, shape=spread]
`fnd14_lst_rpr_adt_aff_hm_off_stt` [cov=0.30, freq=daily, shape=spread]
`fnd14_lst_rpr_adt_aff_hm_off_stt_nm` [cov=0.30, freq=daily, shape=spread]
`fnd14_lst_rpr_adt_aff_hm_off_stt_rgn` [cov=0.30, freq=daily, shape=spread]
`fnd14_lts_ann_qrt_ind_1` [cov=0.28, freq=daily, shape=ceiling]
`fnd14_lts_ann_qrt_ind_2` [cov=0.27, freq=daily, shape=spread]
`fnd14_lts_csh_csh_fnn_act_qtr_1` [cov=0.34, freq=daily, shape=spread]
`fnd14_lts_csh_csh_fnn_act_qtr_2` [cov=0.34, freq=daily, shape=spread]
`fnd14_lts_csh_csh_fnn_act_ttm_1` [cov=0.34, freq=daily, shape=spread]
`fnd14_lts_csh_csh_fnn_act_ttm_2` [cov=0.34, freq=daily, shape=spread]
`fnd14_lts_csh_csh_inv_act_qtr_1` [cov=0.34, freq=daily, shape=spread]
`fnd14_lts_csh_csh_inv_act_qtr_2` [cov=0.34, freq=daily, shape=spread]
`fnd14_lts_csh_csh_inv_act_ttm_1` [cov=0.34, freq=daily, shape=spread]
`fnd14_lts_csh_csh_inv_act_ttm_2` [cov=0.34, freq=daily, shape=spread]
`fnd14_lts_csh_csh_opr_act_qtr_1` [cov=0.34, freq=daily, shape=spread]
`fnd14_lts_csh_csh_opr_act_qtr_2` [cov=0.35, freq=daily, shape=spread]
`fnd14_lts_csh_csh_opr_act_ttm_1` [cov=0.34, freq=daily, shape=spread]
`fnd14_lts_csh_csh_opr_act_ttm_2` [cov=0.35, freq=daily, shape=spread]
`fnd14_mail_addr` [cov=0.35, freq=daily, shape=spread]
`fnd14_mail_city` [cov=0.35, freq=daily, shape=spread]
`fnd14_mail_state` [cov=0.34, freq=daily, shape=spread]
`fnd14_mail_state_country` [cov=0.29, freq=daily, shape=spread]
`fnd14_mail_state_name` [cov=0.34, freq=daily, shape=spread]
`fnd14_mail_state_region` [cov=0.28, freq=daily, shape=spread]
`fnd14_mail_street1` [cov=0.35, freq=daily, shape=spread]
`fnd14_mail_street2` [cov=0.26, freq=daily, shape=spread]
`fnd14_mail_zip` [cov=0.35, freq=daily, shape=spread]
`fnd14_market` [cov=0.23, freq=daily, shape=spread]
`fnd14_meta_add_change_delete_flag` [cov=0.18, freq=daily, shape=ceiling]
`fnd14_mn_ffa_tda_rpr_tsl` [cov=0.30, freq=daily, shape=spread]
`fnd14_mn_ffa_tda_wnk_tsl` [cov=0.30, freq=daily, shape=spread]
`fnd14_mth_mn_lf_tth_nlf_drp_ncr` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_naics_code_description` [cov=0.35, freq=daily, shape=spread]
`fnd14_naics_code_fkey` [cov=0.35, freq=daily, shape=spread]
`fnd14_name` [cov=0.35, freq=daily, shape=spread]
`fnd14_nasdaq_composite` [cov=0.29, freq=daily, shape=ceiling]
`fnd14_parent_company_name` [cov=0.26, freq=daily, shape=spread]
`fnd14_pmc_rpr_lms_rlf_cca` [cov=0.27, freq=daily, shape=spread]
`fnd14_prev_auditor_affiliate_fkey` [cov=0.32, freq=daily, shape=spread]
`fnd14_prev_auditor_affiliate_name` [cov=0.32, freq=daily, shape=spread]
`fnd14_prev_auditor_event_type` [cov=0.27, freq=daily, shape=spread]
`fnd14_prv_adt_aff_hm_off_stt` [cov=0.32, freq=daily, shape=spread]
`fnd14_prv_adt_aff_hm_off_stt_nm` [cov=0.32, freq=daily, shape=spread]
`fnd14_prv_adt_aff_hm_off_stt_rgn` [cov=0.32, freq=daily, shape=spread]
`fnd14_pyt_nve_cns_tda_rpr_tsl` [cov=0.19, freq=daily, shape=spread]
`fnd14_rpo_nn_chc_nlb_lhs_pmc` [cov=0.18, freq=daily, shape=ceiling]
`fnd14_rtq_td_lv_kb_slb_twh` [cov=0.35, freq=daily, shape=spread]
`fnd14_rtq_td_mtt_cni_tn_cni_twh` [cov=0.35, freq=daily, shape=spread]
`fnd14_rtq_td_mtt_nvr_cni_twh` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_rtq_td_rtq_cni_tn_cni_twh` [cov=0.35, freq=daily, shape=spread]
`fnd14_rtq_td_rtq_nvr_cni_twh` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_rtq_td_yf_cni_tn_cni_twh` [cov=0.35, freq=daily, shape=spread]
`fnd14_rtq_td_yf_nvr_cni_twh` [cov=0.35, freq=daily, shape=spread]
`fnd14_russell_2000` [cov=0.23, freq=daily, shape=spread]
`fnd14_sgr_bcp_ffa_tda_rpr_tsl` [cov=0.30, freq=daily, shape=ceiling]
`fnd14_sgr_bcp_ffa_tda_rrc` [cov=0.30, freq=daily, shape=ceiling]
`fnd14_sgr_bcp_ffa_tda_vrp` [cov=0.32, freq=daily, shape=ceiling]
`fnd14_sgr_bcp_ffa_tda_wnk_tsl` [cov=0.29, freq=daily, shape=ceiling]
`fnd14_short_name` [cov=0.35, freq=daily, shape=spread]
`fnd14_sic_code_description` [cov=0.35, freq=daily, shape=spread]
`fnd14_sic_code_fkey` [cov=0.35, freq=daily, shape=spread]
`fnd14_sp_index` [cov=0.26, freq=daily, shape=spread]
`fnd14_td_lf_nlf_drp_ncr` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_td_lf_rlf_lmt_nn_ncr` [cov=0.35, freq=daily, shape=spread]
`fnd14_td_lf_sgr_ncr` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_td_nve_cns_tda_rpr_tsl` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_td_sto_rhs_ltt_twh` [cov=0.35, freq=daily, shape=spread]
`fnd14_termination_form_fkey` [cov=0.23, freq=daily, shape=spread]
`fnd14_termination_ftp_file_name_fkey` [cov=0.23, freq=daily, shape=spread]
`fnd14_txt_mn_lf_tth_nlf_drp_ncr` [cov=0.35, freq=daily, shape=ceiling]
`fnd14_ultimate_parent_company_name` [cov=0.26, freq=daily, shape=spread]
`fnd14_ykf_ffa_tda_rpr_tsl` [cov=0.30, freq=daily, shape=spread]
`fnd14_ykf_ffa_tda_wnk_tsl` [cov=0.30, freq=daily, shape=spread]
`fnd14_ykf_mn_lf_ptf_nlf_drp_ncr` [cov=0.35, freq=daily, shape=ceiling]
