===== risk62 =====
`rsk62_1_100_intercept` [cov=1.00, freq=daily, shape=spread]
`rsk62_5_100_intercept` [cov=1.00, freq=daily, shape=spread]
`rsk62_5_100_ksrs` [cov=0.97, freq=daily, shape=spread]
`rsk62_beta_1_100_curratio` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_dividend` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_growth` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_logadv20` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_logcap` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_margin` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_mtl` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_mts` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_nipe` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_pb` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_qe2d` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_spe` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_1_100_volatility` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_curratio` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_dividend` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_growth` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_logadv20` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_logcap` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_margin` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_mtl` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_mts` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_nipe` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_pb` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_qe2d` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_spe` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_5_100_volatility` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_curratio` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_dividend` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_growth` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_logadv20` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_logcap` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_margin` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_mtl` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_mts` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_nipe` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_pb` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_qe2d` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_spe` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_1_100_volatility` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_curratio` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_dividend` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_growth` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_logadv20` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_logcap` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_margin` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_mtl` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_mts` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_nipe` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_pb` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_qe2d` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_spe` [cov=1.00, freq=daily, shape=spread]
`rsk62_beta_factor_5_100_volatility` [cov=1.00, freq=daily, shape=spread]
`rsk62_curratio_di` [cov=1.04, freq=daily, shape=spread]
`rsk62_dividend_di` [cov=1.04, freq=daily, shape=spread]
`rsk62_factor_1_100_intercept` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val100` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val24` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val25` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val26` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val27` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val28` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val29` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val30` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val31` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val32` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val33` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val34` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val35` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val36` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val37` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val38` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val39` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val40` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val41` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val42` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val43` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val44` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val45` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val46` [cov=1.00, freq=daily, shape=spread]
`rsk62_factor_1_100_val47` [cov=1.00, freq=daily, shape=spread]
