fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
fb43fcb793c85a6e1fcc3f4662878289,REGULAR,"rank(group_zscore(ts_mean(ts_delta(divide(winsorize(fundamental_income_before_extraordinary_items_q, std=4), add(winsorize(fundamental_revenue_quarterly, std=4), 0.0001)), 63), 10), sector))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(group_zscore(ts_mean(ts_delta(divide(winsorize(fundamental_income_before_extraordinary_items_q, std=4), add(winsorize(fundamental_revenue_quarterly, std=4), 0.0001)), 63), 10), sector))"", ""type"": ""REGULAR""}",1yTMkO9Qs4Ry9Xd17bTuSEmQ,TIMEOUT,1787132277.7804503,,0,0,0,0,,
53b59c3bdd810a4390ba351b2d70147c,REGULAR,"rank(ts_mean(group_zscore(ts_regression(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), ts_step(), 252, rettype=2), sector), 10))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_mean(group_zscore(ts_regression(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), ts_step(), 252, rettype=2), sector), 10))"", ""type"": ""REGULAR""}",3ekPwb12n57e8Sf13LzACG1U,ERROR,1787132277.7853472,,0,0,0,0,,"Invalid number of inputs : 0, should be exactly 1 input(s). <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"
a3311a0d8ef71adcca2d3dce768d8a5a,REGULAR,"rank(group_zscore(add(ts_zscore(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 252), ts_zscore(ts_delta(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 63), 126)), sector))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(group_zscore(add(ts_zscore(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 252), ts_zscore(ts_delta(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 63), 126)), sector))"", ""type"": ""REGULAR""}",2lCvgl71H50qbjO11ESPPVz3,TIMEOUT,1787132278.0726,,0,0,0,0,,
dce6cbef54e124921ef34f1e13a4096a,REGULAR,"rank(group_zscore(if_else(greater(abs(ts_zscore(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 252)), 1), signed_power(ts_delta(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 63), 0.7), multiply(ts_delta(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 63), 0.1)), sector))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(group_zscore(if_else(greater(abs(ts_zscore(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 252)), 1), signed_power(ts_delta(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 63), 0.7), multiply(ts_delta(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 63), 0.1)), sector))"", ""type"": ""REGULAR""}",TTviYaqw4OWanuBZ5YhAgM,TIMEOUT,1787132278.0737612,,0,0,0,0,,
aa984d7c2aef23a14030d4951e8c187a,REGULAR,"rank(hump(group_rank(ts_mean(ts_delta(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 63), 5), group_cartesian_product(sector, subindustry)), hump=0.01))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(hump(group_rank(ts_mean(ts_delta(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), 63), 5), group_cartesian_product(sector, subindustry)), hump=0.01))"", ""type"": ""REGULAR""}",2C0RPvaab4W9bc7NZTtZWv5,TIMEOUT,1787132278.074838,,0,0,0,0,,
6d2467c2f7d6059f1707b19730c521f7,REGULAR,"rank(ts_mean(ts_regression(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), group_mean(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), log(ts_mean(fundamental_total_assets_quarterly, 21)), sector), 252, rettype=0), 10))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_mean(ts_regression(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), group_mean(winsorize(ts_backfill(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63), std=4), log(ts_mean(fundamental_total_assets_quarterly, 21)), sector), 252, rettype=0), 10))"", ""type"": ""REGULAR""}",1EswqX7On4Qu9bHsjX9E4tX,TIMEOUT,1787132279.539062,,0,0,0,0,,
4340d6c46d9e478065037cfef6115df7,REGULAR,"rank(group_zscore(ts_mean(ts_delta(divide(winsorize(fundamental_operating_net_cash_flow, std=4), add(winsorize(fundamental_total_assets_quarterly, std=4), 0.0001)), 63), 10), sector))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(group_zscore(ts_mean(ts_delta(divide(winsorize(fundamental_operating_net_cash_flow, std=4), add(winsorize(fundamental_total_assets_quarterly, std=4), 0.0001)), 63), 10), sector))"", ""type"": ""REGULAR""}",1aLvNb4FY5iwcIQ1fwWPqByZ,TIMEOUT,1787132279.541031,,0,0,0,0,,
82a8a453e4dd3879d308c7f13c572953,REGULAR,"rank(ts_mean(group_zscore(ts_regression(winsorize(ts_backfill(divide(fundamental_operating_net_cash_flow, add(fundamental_total_assets_quarterly, 0.0001)), 63), std=4), ts_step(), 252, rettype=2), sector), 10))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_mean(group_zscore(ts_regression(winsorize(ts_backfill(divide(fundamental_operating_net_cash_flow, add(fundamental_total_assets_quarterly, 0.0001)), 63), std=4), ts_step(), 252, rettype=2), sector), 10))"", ""type"": ""REGULAR""}",DAdDG4VJ4jJbI2jEBSfFZn,ERROR,1787132279.542397,,0,0,0,0,,"Invalid number of inputs : 0, should be exactly 1 input(s). <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"
b9921435ec9ecba7d94456f3650af339,REGULAR,"rank(group_zscore(add(ts_zscore(winsorize(ts_backfill(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)), 63), std=4), 252), ts_zscore(ts_delta(winsorize(ts_backfill(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)), 63), std=4), 63), 126)), sector))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(group_zscore(add(ts_zscore(winsorize(ts_backfill(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)), 63), std=4), 252), ts_zscore(ts_delta(winsorize(ts_backfill(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)), 63), std=4), 63), 126)), sector))"", ""type"": ""REGULAR""}",48dyKxehX5k89HN10GxvbJQz,TIMEOUT,1787132279.8597283,,0,0,0,0,,
61e4d3c19df7cb79ce964ebf59f139a4,REGULAR,"rank(group_zscore(ts_mean(ts_delta(divide(winsorize(fundamental_net_sales_quarterly, std=4), add(winsorize(fundamental_total_assets_quarterly, std=4), 0.0001)), 63), 10), sector))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(group_zscore(ts_mean(ts_delta(divide(winsorize(fundamental_net_sales_quarterly, std=4), add(winsorize(fundamental_total_assets_quarterly, std=4), 0.0001)), 63), 10), sector))"", ""type"": ""REGULAR""}",25ZgQF7Rd53MabrLZmJVydj,TIMEOUT,1787132279.8606567,,0,0,0,0,,
