fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
efec710b7a5a6aeb17943cdd22026566,REGULAR,"rank(ts_delta(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 21))",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 21))"", ""type"": ""REGULAR""}",1LbFeZdIA4x6aPeAJ1voEun,TIMEOUT,1787137479.3416243,,0,0,0,0,,
526a61ce5787c6e83a78b7f979d676cc,REGULAR,"rank(ts_delta(divide(fundamental_operating_net_cash_flow, add(fundamental_total_assets_quarterly, 0.0001)), 21))",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_operating_net_cash_flow, add(fundamental_total_assets_quarterly, 0.0001)), 21))"", ""type"": ""REGULAR""}",126CGAag24TbavQjTL6Wnfs,TIMEOUT,1787137479.3455782,,0,0,0,0,,
a040c790feed72b51677a0bb9ae0abb1,REGULAR,"rank(ts_delta(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)), 21))",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)), 21))"", ""type"": ""REGULAR""}",4bqUQaaXJ58p9vN16LnAyOk7,TIMEOUT,1787137479.346981,,0,0,0,0,,
e6cd10688d68789df7d8d953a25d1632,REGULAR,"rank(ts_delta(divide(fundamental_net_sales_quarterly, add(fundamental_total_assets_quarterly, 0.0001)), 21))",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_net_sales_quarterly, add(fundamental_total_assets_quarterly, 0.0001)), 21))"", ""type"": ""REGULAR""}",34kKL9aJZ4NB98w18nHL6q6A,TIMEOUT,1787137479.3481207,,0,0,0,0,,
281efb667c6b2df63591eaf87adb7310,REGULAR,"rank(ts_delta(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_total_assets_quarterly, 0.0001)), 21))",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_total_assets_quarterly, 0.0001)), 21))"", ""type"": ""REGULAR""}",1pTyO219s4uYagojuiZDuNP,TIMEOUT,1787137479.3490415,,0,0,0,0,,
a1333333ea53ca8bc93d946f9c250ca0,REGULAR,"rank(ts_delta(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63))",,,"{""decay"": 10, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63))"", ""type"": ""REGULAR""}",2xSqY6c0h57lcdC155ng4Dv3,TIMEOUT,1787137505.479186,,0,0,0,0,,
c2f9919afce0904c27d136a2b02e8f25,REGULAR,"rank(ts_delta(divide(fundamental_operating_net_cash_flow, add(fundamental_total_assets_quarterly, 0.0001)), 63))",,,"{""decay"": 10, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_operating_net_cash_flow, add(fundamental_total_assets_quarterly, 0.0001)), 63))"", ""type"": ""REGULAR""}",4nLmNpbFc4Ht8xz17K0rpjbT,TIMEOUT,1787137505.4807606,,0,0,0,0,,
eb5a67d2b5773655572dba061f3be19a,REGULAR,"rank(ts_delta(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)), 63))",,,"{""decay"": 10, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)), 63))"", ""type"": ""REGULAR""}",2DdByQ30d4ywc6La1rMENGx,TIMEOUT,1787137505.4818642,,0,0,0,0,,
6710971bb0ab3c2ba2cd51eeac8d577c,REGULAR,"rank(ts_delta(divide(fundamental_net_sales_quarterly, add(fundamental_total_assets_quarterly, 0.0001)), 63))",,,"{""decay"": 10, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_net_sales_quarterly, add(fundamental_total_assets_quarterly, 0.0001)), 63))"", ""type"": ""REGULAR""}",1oRA7u2fu4jgbIC1ft5yFFcD,TIMEOUT,1787137505.4829128,,0,0,0,0,,
2182465b2f473a43bbffaf72a86433d4,REGULAR,"rank(ts_delta(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_total_assets_quarterly, 0.0001)), 63))",,,"{""decay"": 10, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_total_assets_quarterly, 0.0001)), 63))"", ""type"": ""REGULAR""}",1avxjV6xF4gY9zR1b8r09kPh,TIMEOUT,1787137505.4838958,,0,0,0,0,,
