fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
01af7cfdc7829949f96cceb20f56489b,REGULAR,"rank(ts_delta(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 63))"", ""type"": ""REGULAR""}",4kXsqfbsZ4Wv9aXt1QpaTwn,TIMEOUT,1787134672.2191644,,0,0,0,0,,
63951bbd62199ecc179d6307a218b35f,REGULAR,"rank(ts_mean(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 10))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_mean(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 10))"", ""type"": ""REGULAR""}",1iQItIfdu4Xsb1jSHpkjog5,TIMEOUT,1787134672.223021,,0,0,0,0,,
9ec6aac64e8d497d29b3315767ab3788,REGULAR,"rank(ts_zscore(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 252))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_zscore(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_revenue_quarterly, 0.0001)), 252))"", ""type"": ""REGULAR""}",4GkTXkii4Bib4jsVhPDjxe,TIMEOUT,1787134672.2240696,,0,0,0,0,,
b054d8195c7f5a4698c64dafb1a6e4a8,REGULAR,"rank(divide(fundamental_operating_net_cash_flow, add(fundamental_total_assets_quarterly, 0.0001)))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(divide(fundamental_operating_net_cash_flow, add(fundamental_total_assets_quarterly, 0.0001)))"", ""type"": ""REGULAR""}",2T2Sei5XT5hn9jGhMf6x4vq,TIMEOUT,1787134672.224961,,0,0,0,0,,
e73ab629f77d02820c5fe4846c694995,REGULAR,"rank(ts_delta(divide(fundamental_operating_net_cash_flow, add(fundamental_total_assets_quarterly, 0.0001)), 63))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_operating_net_cash_flow, add(fundamental_total_assets_quarterly, 0.0001)), 63))"", ""type"": ""REGULAR""}",1ixZNh1JS5be9Fn16BgVaLB7,TIMEOUT,1787134672.2258263,,0,0,0,0,,
7909ba5de90e9ad7a1369ed9faf96c34,REGULAR,"rank(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)))"", ""type"": ""REGULAR""}",FbO307D24J29Dy14wGMAQwj,TIMEOUT,1787134682.7858064,,0,0,0,0,,
60cb00c4b0e80f8f93fc87d8f0a98c39,REGULAR,"rank(ts_delta(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)), 63))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_delta(divide(fundamental_current_assets_total_q, add(fundamental_total_assets_quarterly, 0.0001)), 63))"", ""type"": ""REGULAR""}",Tc4nydva5gLbFfuWfmShB9,TIMEOUT,1787134682.788797,,0,0,0,0,,
236130d84dab27ae979f05dbe00b9450,REGULAR,"rank(divide(fundamental_net_sales_quarterly, add(fundamental_total_assets_quarterly, 0.0001)))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(divide(fundamental_net_sales_quarterly, add(fundamental_total_assets_quarterly, 0.0001)))"", ""type"": ""REGULAR""}",joduIcoQ4OtaSAsO7auTu,TIMEOUT,1787134682.790833,,0,0,0,0,,
332b6ad45c46039ed814db0d47c5a79a,REGULAR,"rank(ts_zscore(divide(fundamental_net_sales_quarterly, add(fundamental_total_assets_quarterly, 0.0001)), 252))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_zscore(divide(fundamental_net_sales_quarterly, add(fundamental_total_assets_quarterly, 0.0001)), 252))"", ""type"": ""REGULAR""}",1UMOp62zP4l9byDzEoV82Y0,TIMEOUT,1787134682.793197,,0,0,0,0,,
5d5055f5105b08823b284be051138c5c,REGULAR,"rank(ts_mean(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_total_assets_quarterly, 0.0001)), 10))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""OFF"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""MEA"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP400"", ""visualization"": false}","{""regular"": ""rank(ts_mean(divide(fundamental_income_before_extraordinary_items_q, add(fundamental_total_assets_quarterly, 0.0001)), 10))"", ""type"": ""REGULAR""}",2Y6AS4Tu55icHR1amZSm8gy,TIMEOUT,1787134682.795144,,0,0,0,0,,
